O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,O_UP
10-30,857,906471,14:00:00,29,38,0
10-29,685,902529,8:00:00,15,42,1
10-29,912,907270,18:00:00,10,29,0
10-31,804,911531,12:00:00,13,23,0
10-28,577,903981,16:00:00,17,27,0
10-28,675,905243,14:00:00,26,39,0
10-28,95,921437,18:00:00,16,22,0
10-28,830,907137,8:00:00,17,26,1
10-27,841,902927,13:00:00,7,34,0
10-25,97,921460,15:00:00,7,21,1
10-25,912,907334,19:00:00,16,25,0
10-27,592,906716,17:00:00,18,22,1
10-30,847,906765,10:00:00,43,47,0
10-29,643,963821,16:00:00,22,30,0
10-25,862,932605,11:00:00,26,30,1
10-29,402,900153,12:00:00,22,26,0
10-27,961,903091,7:00:00,11,36,0
10-25,665,906086,7:00:00,13,29,0
10-29,7052,903560,16:00:00,31,52,0
10-27,952,900784,17:00:00,12,29,0
10-29,602,901775,20:00:00,34,44,0
10-26,804,904783,15:00:00,8,23,0
10-27,916,905484,11:00:00,14,23,0
10-26,697,906698,11:00:00,15,30,1
10-31,570,906258,12:00:00,23,27,1
10-31,3,932512,8:00:00,10,24,0
10-27,878,905860,7:00:00,35,43,1
10-31,862,901096,20:00:00,13,32,0
10-27,827,903169,7:00:00,13,20,0
10-30,535,901558,14:00:00,14,27,1
10-26,92,921662,15:00:00,19,23,0
10-26,9,903151,9:00:00,14,25,0
10-26,686,906020,11:00:00,44,61,1
10-29,907,905532,10:00:00,20,32,1
10-31,847,906755,8:00:00,21,47,0
10-29,800,922530,22:00:00,19,49,0
10-26,961,903078,19:00:00,18,35,1
10-25,401,903980,7:00:00,7,16,0
10-28,20,904652,22:00:00,17,31,1
10-25,753,901067,13:00:00,4,29,0
10-29,961,903091,14:00:00,28,35,1
10-25,954,907429,11:00:00,19,29,1
10-27,61101,902026,15:00:00,5,14,0
10-29,863,903580,16:00:00,32,38,0
10-27,571,907385,7:00:00,18,22,0
10-27,50,932546,7:00:00,2,16,1
10-30,572,903039,10:00:00,9,16,1
10-27,800,901546,11:00:00,13,45,1
10-28,866,905586,14:00:00,6,30,0
10-25,22,912231,15:00:00,13,29,1
10-26,800,922544,21:00:00,37,50,1
10-29,850,906985,14:00:00,20,38,0
10-31,725,902040,8:00:00,7,16,0
10-26,961,903125,7:00:00,22,35,1
10-29,869,903448,10:00:00,10,37,0
10-29,9,903150,12:00:00,11,25,0
10-30,901,902871,16:00:00,20,37,1
10-26,953,904257,11:00:00,24,28,0
10-30,910,905553,8:00:00,12,19,1
10-25,808,902603,15:00:00,37,47,0
10-28,846,921901,12:00:00,23,38,0
10-25,800,922562,9:00:00,14,45,1
10-31,573,904841,18:00:00,30,34,0
10-30,670,919773,8:00:00,6,25,1
10-31,665,906079,8:00:00,34,38,1
10-27,705,907371,19:00:00,45,67,1
10-31,910,905538,16:00:00,10,19,1
10-30,679,906460,20:00:00,17,34,0
10-30,858,906065,10:00:00,26,37,1
10-26,842,900983,21:00:00,17,28,0
10-27,752,907005,19:00:00,24,28,1
10-30,96,907060,10:00:00,20,40,0
10-27,665,906079,15:00:00,16,38,0
10-31,600,912373,14:00:00,14,25,1
10-26,866,905573,11:00:00,25,37,0
10-27,832,902480,7:00:00,4,26,1
10-28,655,906094,10:00:00,19,33,0
10-28,628,902277,8:00:00,12,37,0
10-29,565,901040,8:00:00,5,24,1
10-29,863,903585,10:00:00,17,35,0
10-30,871,902818,8:00:00,27,40,0
10-28,832,903488,18:00:00,7,25,1
10-30,619,904727,12:00:00,9,35,0
10-25,903,906220,7:00:00,25,33,1
10-29,672,902483,10:00:00,10,35,0
10-30,634,912234,14:00:00,10,32,1
10-29,27,906181,14:00:00,20,27,0
10-26,462,901876,13:00:00,6,16,1
10-26,47,963837,9:00:00,44,51,0
10-25,846,921922,13:00:00,34,39,1
10-30,668,901653,12:00:00,24,41,1
10-27,672,902495,7:00:00,19,37,1
10-25,856,906888,19:00:00,12,34,1
10-28,832,903474,12:00:00,15,28,0
10-26,711,906945,9:00:00,2,35,1
10-27,856,906889,19:00:00,7,33,1
10-30,808,900259,16:00:00,39,47,0
10-27,681,907261,19:00:00,17,34,1
10-25,700,906583,7:00:00,21,37,1
10-25,804,911511,7:00:00,17,25,1
10-26,693,907414,21:00:00,8,35,1
10-30,698,902368,10:00:00,10,42,1
10-27,908,900917,7:00:00,37,46,0
10-31,698,902363,14:00:00,33,42,1
10-31,682,906109,8:00:00,26,30,0
10-27,963,903525,17:00:00,9,24,1
10-26,916,905489,21:00:00,11,23,1
10-28,725,905346,16:00:00,2,20,1
10-26,818,904449,7:00:00,17,36,0
10-31,838,921508,12:00:00,23,43,0
10-30,904,905140,18:00:00,35,41,0
10-26,916,905486,7:00:00,6,23,1
10-31,662,900651,10:00:00,21,40,1
10-28,1,902732,8:00:00,4,29,1
10-28,175,902472,18:00:00,15,29,1
10-28,562,907007,20:00:00,20,36,0
10-31,906,904893,16:00:00,23,38,0
10-26,665,906155,11:00:00,20,38,0
10-26,9,903150,19:00:00,17,25,1
10-30,697,906700,8:00:00,22,30,1
10-30,952,906249,10:00:00,23,33,0
10-26,804,911537,17:00:00,11,25,1
10-27,55002,906074,19:00:00,6,15,0
10-31,675,905224,10:00:00,18,39,1
10-29,953,922501,18:00:00,16,28,0
10-27,802,903043,15:00:00,4,25,0
10-30,6011,904516,8:00:00,7,25,0
10-30,962,903130,10:00:00,32,37,0
10-28,912,907277,16:00:00,9,31,0
10-30,6002,900320,16:00:00,14,29,1
10-25,856,906673,15:00:00,32,40,1
10-30,903,905560,10:00:00,21,33,1
10-29,903,905554,12:00:00,14,33,1
10-30,952,900774,8:00:00,25,33,0
10-25,698,902379,17:00:00,21,42,0
10-28,175,902471,8:00:00,22,29,1
10-29,13,902394,8:00:00,13,19,0
10-29,871,902814,18:00:00,11,35,1
10-30,6002,900327,8:00:00,13,29,1
10-26,4593,907402,17:00:00,28,54,0
10-29,186,906498,18:00:00,38,44,0
10-31,37,912319,12:00:00,25,32,1
10-29,869,903450,20:00:00,37,42,1
10-31,901,900390,22:00:00,19,37,1
10-27,61101,902023,17:00:00,14,21,1
10-30,6002,900334,8:00:00,4,25,0
10-27,840,903115,15:00:00,28,35,0
10-31,717,901013,18:00:00,7,11,1
10-28,97,902565,22:00:00,11,21,1
10-31,676,904695,22:00:00,18,49,1
10-27,859,900473,11:00:00,6,33,1
10-27,912,907325,11:00:00,10,35,1
10-26,836,905220,21:00:00,26,35,0
10-31,20,904651,18:00:00,18,31,1
10-28,686,906015,10:00:00,10,35,1
10-27,570,901217,15:00:00,2,12,0
10-28,705,907372,8:00:00,63,68,0
10-31,869,903459,14:00:00,34,42,0
10-26,812,906648,19:00:00,12,24,1
10-30,952,900792,12:00:00,19,33,1
10-30,615,905075,10:00:00,22,27,0
10-31,459,905396,18:00:00,10,31,0
10-31,841,902927,16:00:00,8,34,0
10-30,629,901589,8:00:00,26,52,1
10-25,629,901536,7:00:00,40,52,1
10-27,15,900959,17:00:00,11,17,1
10-25,952,900778,7:00:00,16,32,1
10-26,655,904620,19:00:00,29,33,1
10-29,569,901749,8:00:00,23,28,0
10-27,673,900238,7:00:00,17,38,0
10-26,6011,904517,9:00:00,27,35,1
10-25,681,907257,9:00:00,9,32,1
10-26,668,900877,17:00:00,34,41,1
10-29,697,906706,12:00:00,18,31,0
10-29,602,911549,18:00:00,29,44,0
10-31,868,906241,8:00:00,20,36,1
10-25,824,907209,17:00:00,2,33,1
10-28,865,907350,14:00:00,17,22,1
10-28,535,901554,14:00:00,11,27,1
10-31,679,906452,18:00:00,24,35,1
10-30,652,903899,8:00:00,61,84,0
10-26,698,902383,9:00:00,16,41,0
10-31,859,900470,18:00:00,23,48,0
10-28,651,902949,16:00:00,5,16,1
10-26,841,902921,13:00:00,23,41,1
10-25,916,905492,15:00:00,19,23,0
10-27,343,901719,17:00:00,8,13,1
10-30,912,904370,8:00:00,14,35,0
10-25,845,907306,9:00:00,15,20,1
10-29,61102,906372,10:00:00,7,35,1
10-31,845,907304,20:00:00,2,20,1
10-26,685,902512,17:00:00,24,42,1
10-26,652,903903,19:00:00,51,84,1
10-26,634,912247,17:00:00,19,34,0
10-28,688,903783,8:00:00,5,27,1
10-27,628,902269,15:00:00,28,52,0
10-28,870,902413,16:00:00,30,47,1
10-30,92,921662,10:00:00,12,20,1
10-31,878,901103,14:00:00,18,43,1
10-27,9,904261,11:00:00,18,25,0
10-29,711,906941,18:00:00,12,24,1
10-27,639,901810,11:00:00,28,36,1
10-31,842,900971,18:00:00,8,28,0
10-26,7052,903558,21:00:00,41,52,0
10-31,856,906663,14:00:00,25,40,1
10-27,682,906107,21:00:00,22,30,0
10-25,304,922511,19:00:00,9,16,1
10-25,641,902640,15:00:00,37,43,0
10-31,847,906737,18:00:00,12,35,0
10-28,721,902148,8:00:00,3,16,1
10-30,37,912352,14:00:00,11,32,1
10-28,619,904726,16:00:00,21,34,1
10-25,681,907255,7:00:00,19,34,1
10-29,686,906004,14:00:00,40,61,1
10-29,836,905206,12:00:00,27,35,0
10-25,865,907355,7:00:00,28,32,1
10-25,61101,912222,9:00:00,9,18,0
10-26,752,907005,9:00:00,23,28,1
10-28,832,903477,12:00:00,20,28,0
10-26,606,900509,13:00:00,23,39,1
10-28,753,901067,10:00:00,7,22,1
10-30,871,906834,20:00:00,33,40,0
10-30,808,900282,8:00:00,37,48,1
10-30,639,901816,8:00:00,9,25,1
10-27,595,904012,19:00:00,7,18,1
10-29,592,906722,16:00:00,14,18,1
10-30,863,960163,16:00:00,18,37,1
10-25,953,922502,9:00:00,19,30,1
10-27,735,900541,9:00:00,12,24,0
10-30,856,906672,16:00:00,13,35,0
10-27,952,906244,13:00:00,2,22,1
10-27,911,907324,21:00:00,24,33,1
10-28,800,922560,18:00:00,9,35,1
10-26,640,903176,17:00:00,10,30,1
10-27,662,900627,17:00:00,33,42,0
10-30,697,906708,16:00:00,2,28,1
10-26,662,900652,19:00:00,2,28,1
10-25,912,904370,7:00:00,6,27,0
10-27,606,900506,17:00:00,26,39,1
10-29,813,906630,14:00:00,14,24,0
10-26,50,932519,11:00:00,2,16,1
10-27,6001,900297,13:00:00,5,21,1
10-26,4011,902222,17:00:00,15,28,0
10-28,675,905225,8:00:00,31,39,0
10-31,855,902349,8:00:00,13,33,1
10-25,856,906883,11:00:00,12,34,1
10-30,842,900963,8:00:00,14,28,0
10-27,619,904722,7:00:00,12,30,1
10-28,711,906932,18:00:00,24,45,0
10-27,676,904701,7:00:00,4,27,0
10-30,621,902965,8:00:00,8,31,0
10-31,912,907341,12:00:00,13,35,0
10-28,634,906408,20:00:00,15,34,0
10-27,863,903579,19:00:00,34,39,0
10-26,906,902451,21:00:00,13,38,0
10-25,700,902684,21:00:00,17,32,1
10-26,218,903942,17:00:00,13,20,0
10-27,856,906882,7:00:00,19,36,1
10-26,803,906595,15:00:00,5,28,0
10-27,866,905579,7:00:00,6,21,1
10-26,671,902135,15:00:00,22,31,0
10-29,665,906083,12:00:00,23,38,0
10-27,902,905378,21:00:00,20,24,0
10-25,660,942263,21:00:00,7,33,1
10-30,916,905490,20:00:00,2,23,0
10-30,850,906985,10:00:00,5,31,0
10-31,687,931272,10:00:00,19,40,0
10-25,633,905496,17:00:00,5,25,1
10-31,850,906803,8:00:00,8,32,1
10-26,711,906949,11:00:00,29,45,0
10-29,802,903057,14:00:00,21,25,0
10-27,878,905499,7:00:00,29,43,1
10-30,619,904724,12:00:00,34,41,1
10-27,30,905294,7:00:00,4,22,1
10-31,808,900259,8:00:00,33,47,0
10-27,910,905539,7:00:00,14,18,0
10-26,613,905700,11:00:00,2,20,1
10-27,827,903588,13:00:00,8,20,0
10-26,953,904257,19:00:00,21,30,1
10-30,826,907044,22:00:00,43,47,0
10-28,700,906583,14:00:00,15,32,1
10-25,840,903112,13:00:00,29,35,1
10-30,642,903008,18:00:00,34,40,1
10-28,214,900426,14:00:00,19,28,1
10-25,879,904349,11:00:00,20,38,1
10-31,185,905677,12:00:00,8,30,1
10-27,841,902927,7:00:00,31,42,0
10-28,673,900222,14:00:00,10,30,0
10-25,665,906150,19:00:00,5,38,0
10-25,861,905889,21:00:00,32,39,1
10-30,623,904602,8:00:00,19,31,1
10-27,903,905562,9:00:00,13,33,1
10-28,749,900620,16:00:00,2,9,0
10-28,93,903949,22:00:00,16,23,1
10-31,907,905524,12:00:00,28,33,0
10-26,760,901906,7:00:00,4,26,0
10-28,751,942255,20:00:00,2,25,0
10-29,629,901538,8:00:00,41,52,0
10-25,639,901811,17:00:00,20,34,0
10-27,676,904675,11:00:00,4,30,1
10-31,850,906803,10:00:00,12,38,0
10-29,452,904077,18:00:00,15,26,0
10-28,911,907323,14:00:00,23,32,0
10-25,621,902976,13:00:00,30,42,0
10-31,96,907084,8:00:00,36,44,1
10-29,707,905923,16:00:00,3,13,1
10-27,632,904187,15:00:00,11,36,1
10-26,737,902062,17:00:00,11,17,1
10-30,640,903185,8:00:00,11,28,1
10-28,61102,906371,12:00:00,36,50,1
10-25,37,912342,17:00:00,9,31,0
10-29,95,921434,12:00:00,18,22,0
10-30,725,903438,16:00:00,13,20,1
10-27,656,904179,19:00:00,31,37,0
10-28,838,921600,16:00:00,37,43,0
10-30,634,901752,8:00:00,21,32,1
10-27,841,900869,11:00:00,20,41,1
10-30,619,904706,12:00:00,29,41,1
10-28,963,903530,10:00:00,24,35,1
10-30,846,921904,18:00:00,25,38,0
10-31,600,912374,12:00:00,21,26,0
10-31,32,941332,12:00:00,9,20,1
10-30,665,906146,20:00:00,26,38,0
10-28,673,900212,8:00:00,32,43,0
10-31,27,906610,16:00:00,22,27,0
10-28,623,904596,8:00:00,11,31,1
10-28,706,906554,12:00:00,43,49,0
10-26,860,901831,9:00:00,28,41,1
10-29,643,963825,10:00:00,5,24,0
10-26,621,902970,7:00:00,11,17,1
10-27,609,900940,17:00:00,29,44,1
10-31,622,904562,10:00:00,11,15,0
10-27,8,906920,9:00:00,5,18,1
10-26,954,907431,9:00:00,33,40,0
10-27,47,962338,21:00:00,46,51,0
10-25,841,902937,21:00:00,19,41,1
10-28,867,900364,16:00:00,15,35,0
10-30,711,906934,10:00:00,27,42,0
10-26,676,904677,19:00:00,13,40,1
10-28,653,900194,18:00:00,28,39,0
10-29,808,904627,12:00:00,44,48,1
10-30,61102,906364,16:00:00,40,49,0
10-26,860,901833,13:00:00,31,40,0
10-29,34,906404,16:00:00,6,25,0
10-25,697,906708,9:00:00,12,23,0
10-28,859,900466,20:00:00,5,35,1
10-31,804,905249,16:00:00,19,25,1
10-28,48,900394,22:00:00,3,23,0
10-26,824,907203,13:00:00,12,40,0
10-31,4592,900141,18:00:00,39,43,0
10-30,9,903149,10:00:00,21,25,0
10-29,696,900117,8:00:00,8,14,1
10-30,836,905204,10:00:00,20,34,1
10-30,916,905494,10:00:00,19,23,0
10-27,1,902751,9:00:00,21,29,1
10-26,185,905690,13:00:00,25,30,0
10-27,840,902129,13:00:00,11,35,0
10-27,872,902284,15:00:00,24,46,0
10-29,50,932549,8:00:00,2,17,0
10-28,700,902705,8:00:00,31,37,0
10-25,31,901815,17:00:00,13,21,1
10-26,634,912366,13:00:00,16,32,1
10-28,698,902373,20:00:00,26,42,0
10-27,659,905933,19:00:00,56,63,1
10-28,95,921443,20:00:00,11,22,0
10-27,668,902902,9:00:00,10,36,0
10-26,1,902749,17:00:00,18,29,1
10-28,652,903883,18:00:00,24,60,0
10-25,47,963855,9:00:00,43,51,0
10-27,8,906927,9:00:00,5,16,0
10-28,653,900184,16:00:00,20,39,0
10-26,34,906400,15:00:00,19,25,0
10-30,850,906817,16:00:00,4,31,0
10-30,6012,902579,12:00:00,30,39,1
10-25,610,906381,9:00:00,24,33,1
10-28,211,902068,12:00:00,10,31,1
10-30,610,905633,8:00:00,6,28,1
10-27,20,903366,11:00:00,10,31,1
10-26,954,907430,19:00:00,25,41,1
10-27,706,906552,7:00:00,13,34,0
10-29,673,900234,16:00:00,39,43,0
10-29,671,911414,8:00:00,36,40,1
10-29,695,900108,14:00:00,10,21,1
10-27,850,906798,13:00:00,23,38,1
10-28,203,905791,18:00:00,14,23,1
10-30,826,907042,14:00:00,28,47,0
10-27,657,921137,11:00:00,34,46,0
10-30,856,906670,20:00:00,10,37,0
10-30,37,912322,8:00:00,14,32,1
10-29,643,963819,18:00:00,5,30,0
10-26,901,901654,19:00:00,18,37,1
10-26,871,906827,17:00:00,9,25,0
10-31,912,907333,18:00:00,28,35,1
10-27,652,903915,7:00:00,56,77,0
10-30,826,907095,8:00:00,35,47,0
10-31,808,900257,16:00:00,40,47,0
10-25,860,901831,9:00:00,34,41,1
10-30,865,907359,12:00:00,6,32,1
10-28,838,921508,10:00:00,39,43,0
10-31,572,904209,16:00:00,15,24,0
10-30,605,901281,16:00:00,9,24,1
10-29,652,903905,14:00:00,65,84,0
10-30,800,922548,16:00:00,19,50,1
10-31,660,905284,8:00:00,14,33,1
10-30,686,906037,8:00:00,34,49,0
10-29,856,906653,12:00:00,24,41,0
10-25,962,903131,13:00:00,33,37,0
10-27,808,900276,13:00:00,42,48,1
10-30,657,921126,10:00:00,28,46,0
10-27,675,905232,15:00:00,23,39,1
10-30,657,921141,10:00:00,3,29,0
10-27,804,911511,9:00:00,4,21,1
10-28,904,901984,8:00:00,25,41,0
10-25,841,902926,7:00:00,25,42,0
10-28,808,904629,18:00:00,37,47,0
10-30,186,906505,16:00:00,33,44,0
10-31,656,902339,16:00:00,10,16,1
10-30,952,900774,10:00:00,28,33,1
10-27,868,900847,13:00:00,22,35,0
10-27,676,904690,7:00:00,27,49,0
10-27,161,905187,7:00:00,8,34,0
10-27,867,900379,13:00:00,17,35,0
10-26,686,906004,7:00:00,13,35,1
10-25,6002,900320,13:00:00,8,28,0
10-29,706,906578,18:00:00,12,46,1
10-31,692,942171,12:00:00,14,18,1
10-27,22,912219,13:00:00,2,29,0
10-25,705,905793,17:00:00,47,67,1
10-29,685,902516,18:00:00,29,42,1
10-27,52,901304,21:00:00,16,21,0
10-30,879,904352,12:00:00,18,38,1
10-27,841,902925,17:00:00,2,25,0
10-27,353,903706,17:00:00,15,19,0
10-26,800,922553,15:00:00,10,38,0
10-28,836,905212,22:00:00,24,34,1
10-25,908,900921,15:00:00,40,47,1
10-26,652,903927,7:00:00,58,84,1
10-26,6001,900310,9:00:00,16,25,0
10-30,4593,907404,16:00:00,15,44,0
10-28,631,932317,10:00:00,34,44,1
10-26,698,902364,13:00:00,3,39,0
10-27,203,905788,11:00:00,5,23,0
10-30,673,900216,14:00:00,13,38,1
10-27,903,905560,15:00:00,12,33,1
10-27,905,901664,17:00:00,27,37,1
10-27,806,906535,15:00:00,29,34,0
10-31,963,903535,22:00:00,15,35,0
10-27,681,907265,13:00:00,23,34,1
10-26,725,903435,15:00:00,4,20,0
10-29,711,906936,8:00:00,19,46,1
10-25,673,901701,7:00:00,18,39,0
10-27,968,902617,19:00:00,8,19,1
10-27,866,905579,11:00:00,9,33,1
10-28,34,912362,16:00:00,13,25,0
10-26,859,900448,7:00:00,40,61,0
10-29,803,906600,18:00:00,23,33,0
10-28,869,903457,10:00:00,27,42,0
10-26,905,901664,9:00:00,22,37,0
10-30,841,902924,16:00:00,9,32,0
10-27,678,904406,17:00:00,27,33,0
10-29,802,905374,14:00:00,16,25,0
10-26,857,904035,7:00:00,31,37,1
10-28,204,905631,10:00:00,32,39,1
10-31,641,902646,14:00:00,9,32,0
10-25,841,902920,15:00:00,32,37,0
10-27,326,905704,7:00:00,8,15,0
10-30,185,905684,20:00:00,11,30,0
10-26,842,900970,9:00:00,19,24,1
10-29,804,911530,10:00:00,12,23,0
10-29,215,903973,16:00:00,32,39,1
10-26,622,904560,11:00:00,43,49,1
10-28,861,905891,10:00:00,20,39,1
10-31,682,906105,16:00:00,23,30,0
10-27,729,902059,7:00:00,9,13,1
10-29,901,902863,8:00:00,26,37,1
10-25,34,912362,11:00:00,19,25,0
10-28,604,905132,10:00:00,17,21,0
10-30,308,901352,18:00:00,11,20,1
10-29,863,960159,10:00:00,10,31,0
10-29,608,903870,8:00:00,40,46,1
10-27,643,963802,17:00:00,19,30,0
10-28,836,904155,16:00:00,25,35,0
10-26,628,902272,13:00:00,30,52,0
10-30,841,902920,16:00:00,19,42,0
10-28,640,903195,10:00:00,17,40,1
10-28,602,901774,20:00:00,19,44,0
10-25,592,906722,11:00:00,18,25,0
10-29,907,905521,12:00:00,20,33,0
10-27,632,904194,15:00:00,19,42,0
10-29,50,932544,20:00:00,6,16,1
10-27,4592,905405,9:00:00,25,43,0
10-29,801,911566,8:00:00,27,38,0
10-30,903,905556,18:00:00,24,31,0
10-30,97,921456,10:00:00,12,21,1
10-26,30,942298,9:00:00,17,23,0
10-27,327,905190,7:00:00,5,13,0
10-31,663,900173,16:00:00,20,30,1
10-25,906,906978,13:00:00,28,39,1
10-28,903,906220,10:00:00,12,31,0
10-29,563,907020,10:00:00,25,29,1
10-26,659,905943,11:00:00,27,36,1
10-26,652,903931,21:00:00,25,31,0
10-29,95,921443,20:00:00,9,22,0
10-27,968,921926,11:00:00,11,18,0
10-28,657,921144,22:00:00,16,46,1
10-29,808,904628,14:00:00,41,47,0
10-25,226,905800,7:00:00,2,27,0
10-27,808,900287,9:00:00,40,47,0
10-29,802,903043,18:00:00,18,24,0
10-30,910,905546,8:00:00,6,18,0
10-26,653,900191,21:00:00,28,39,0
10-30,6011,904519,8:00:00,22,34,0
10-30,564,902138,20:00:00,8,14,1
10-25,4013,904580,19:00:00,19,26,1
10-27,607,906355,7:00:00,23,42,1
10-29,808,904629,14:00:00,37,47,0
10-30,8,906921,10:00:00,7,16,0
10-28,47,906232,10:00:00,18,37,0
10-26,7052,903561,13:00:00,48,53,1
10-25,849,902399,7:00:00,15,41,0
10-25,911,903269,7:00:00,12,28,1
10-27,675,905237,7:00:00,11,28,1
10-26,802,903057,9:00:00,8,28,1
10-30,185,905675,10:00:00,19,30,0
10-31,829,901044,18:00:00,9,28,1
10-31,656,902341,8:00:00,2,20,0
10-26,462,901873,9:00:00,7,18,0
10-27,961,901697,19:00:00,10,33,0
10-26,867,900346,17:00:00,22,35,0
10-30,685,902523,12:00:00,37,43,0
10-27,656,902342,19:00:00,11,34,1
10-27,855,901371,19:00:00,17,40,0
10-29,951,903253,16:00:00,7,29,1
10-28,813,906634,18:00:00,11,23,1
10-31,846,921903,18:00:00,14,33,0
10-31,6001,900300,8:00:00,9,21,1
10-29,752,906998,10:00:00,12,25,1
10-31,7052,903545,8:00:00,7,19,1
10-30,837,905356,12:00:00,15,27,1
10-30,847,906764,16:00:00,25,47,0
10-27,657,921141,19:00:00,24,46,1
10-29,20,903364,8:00:00,24,32,0
10-25,48,901618,17:00:00,27,44,0
10-27,871,902810,9:00:00,25,40,0
10-28,908,900921,18:00:00,17,41,1
10-25,678,904385,19:00:00,11,33,0
10-30,800,922541,18:00:00,34,49,0
10-29,6002,900328,22:00:00,16,28,0
10-27,639,901825,7:00:00,10,32,1
10-27,47,963859,7:00:00,31,49,0
10-31,471,907233,12:00:00,23,29,0
10-27,745,903801,19:00:00,17,21,1
10-25,215,903973,19:00:00,34,39,1
10-25,652,903934,17:00:00,10,31,1
10-31,606,900506,20:00:00,21,39,1
10-25,703,905047,7:00:00,16,29,1
10-26,830,907120,7:00:00,7,24,0
10-28,97,921454,14:00:00,14,23,0
10-29,606,900512,20:00:00,25,33,1
10-29,8041,905743,8:00:00,4,11,1
10-31,698,902363,12:00:00,14,42,0
10-27,641,906257,19:00:00,7,34,1
10-28,707,905910,14:00:00,20,24,0
10-30,95,921435,10:00:00,16,22,1
10-28,904,901987,20:00:00,24,41,0
10-28,652,903915,16:00:00,59,79,0
10-28,870,901393,8:00:00,22,47,1
10-31,673,900206,12:00:00,23,43,0
10-27,912,907335,9:00:00,4,27,1
10-31,746,905362,8:00:00,5,13,0
10-29,669,931247,18:00:00,23,38,1
10-25,631,932321,11:00:00,19,44,1
10-27,804,905248,13:00:00,12,25,1
10-27,600,905370,19:00:00,15,25,1
10-31,622,906894,8:00:00,44,49,1
10-26,906,906974,15:00:00,35,39,1
10-28,628,902280,16:00:00,26,30,1
10-28,698,901544,20:00:00,30,42,0
10-30,841,902930,14:00:00,28,41,1
10-30,903,905555,16:00:00,13,33,1
10-26,867,900369,15:00:00,11,32,1
10-31,185,905675,14:00:00,24,30,0
10-28,30,942291,12:00:00,5,23,0
10-25,803,906592,9:00:00,29,33,0
10-26,963,903519,15:00:00,30,35,1
10-26,954,902559,17:00:00,35,41,1
10-29,607,906352,16:00:00,25,42,0
10-31,609,900935,18:00:00,41,45,0
10-29,705,907374,10:00:00,61,67,1
10-30,903,906218,20:00:00,9,33,1
10-25,4204,904925,15:00:00,3,30,1
10-31,607,906341,18:00:00,5,34,0
10-30,872,902285,8:00:00,15,36,1
10-29,660,905284,10:00:00,14,33,0
10-27,673,901701,7:00:00,17,39,0
10-29,706,906560,20:00:00,34,46,1
10-25,868,900850,9:00:00,21,36,1
10-28,631,904135,12:00:00,22,42,0
10-30,855,901386,16:00:00,11,30,1
10-30,5,912310,8:00:00,5,10,1
10-30,533,900676,16:00:00,23,27,0
10-30,691,942161,18:00:00,10,14,0
10-31,591,906311,8:00:00,4,16,0
10-27,838,921509,11:00:00,30,43,0
10-25,570,901152,19:00:00,7,15,0
10-26,622,904560,17:00:00,29,47,0
10-27,61102,906372,11:00:00,31,50,1
10-26,707,905915,11:00:00,17,24,0
10-28,642,903015,8:00:00,14,34,0
10-29,703,904292,10:00:00,18,29,0
10-25,846,921916,7:00:00,31,38,0
10-29,968,903263,14:00:00,5,19,1
10-30,185,905669,10:00:00,14,28,0
10-31,961,903088,14:00:00,30,35,0
10-27,859,900470,15:00:00,55,61,0
10-31,878,905855,20:00:00,12,43,1
10-25,367,905602,9:00:00,4,17,0
10-31,753,901060,8:00:00,15,29,1
10-28,61102,906368,8:00:00,13,40,1
10-31,850,906812,18:00:00,5,32,0
10-27,634,912349,9:00:00,7,31,1
10-29,533,900673,12:00:00,22,27,0
10-27,872,902303,19:00:00,20,46,0
10-28,186,905990,16:00:00,26,44,0
10-27,682,906116,9:00:00,7,30,1
10-30,826,907044,18:00:00,33,42,0
10-29,623,904598,14:00:00,12,30,0
10-28,615,905075,18:00:00,18,27,0
10-26,569,901743,11:00:00,10,28,0
10-26,855,901375,15:00:00,34,45,0
10-28,37,912334,10:00:00,24,31,0
10-31,656,904184,8:00:00,25,37,0
10-26,713,907169,9:00:00,2,19,0
10-30,640,903171,16:00:00,23,35,0
10-30,220,901346,8:00:00,4,22,0
10-26,13,902540,11:00:00,5,19,0
10-31,4593,907405,16:00:00,16,43,0
10-30,842,912255,18:00:00,19,25,1
10-31,800,922560,16:00:00,25,49,0
10-30,836,905207,8:00:00,25,35,0
10-25,641,902654,11:00:00,35,43,1
10-28,632,904191,18:00:00,23,44,0
10-28,700,906440,18:00:00,14,32,1
10-28,563,907019,18:00:00,21,29,0
10-28,212,902071,10:00:00,15,19,0
10-31,163,931279,14:00:00,2,11,0
10-29,856,906691,8:00:00,8,29,0
10-25,748,907000,13:00:00,4,13,0
10-30,867,900356,14:00:00,10,32,1
10-26,855,901388,11:00:00,34,44,0
10-29,867,900352,8:00:00,30,35,0
10-25,632,901486,11:00:00,37,41,1
10-27,693,907418,17:00:00,29,35,1
10-31,645,901871,18:00:00,17,28,1
10-26,800,922551,7:00:00,5,23,1
10-28,679,906459,16:00:00,18,35,1
10-27,870,902405,7:00:00,37,47,1
10-27,808,904633,17:00:00,37,47,0
10-30,851,903506,18:00:00,11,27,0
10-30,613,905693,18:00:00,9,20,1
10-31,731,902158,16:00:00,31,38,1
10-29,6001,900299,14:00:00,16,21,1
